work_A,work_B,jaccardSimilarity
46184,46157,0.15072765072765074
46184,46987,0.2200522092236295
46184,2188,0.22777362719462085
46184,24043,0.06845279842895216
46184,24288,0.13989191844755589
46184,27822,0.20709866492999024
46184,31199,0.15286874508776527
46184,33863,0.13541924313628495
46184,33864,0.14487547892720307
46184,34521,0.14538261837062677
46184,38402,0.21751980139496394
46184,40117,0.06547535948624877
46184,45579,0.18558927150812593
46184,312161,0.13424692297931734
46184,47804,0.178938819707634
46184,6383,0.16809373591707977
46184,6496,0.16312708070256
46184,6498,0.19099664538469863
46184,6499,0.18244708311822405
46184,6503,0.13088098094095696
46184,6504,0.164996829422955
46184,6505,0.1636170463935781
46184,6518,0.15047099652949925
46184,6525,0.18474498038310638
46184,6549,0.1898803046789989
46184,6649,0.11717537506466633
46184,77182,0.16802019315188763
46184,7939,0.04985994397759104
46184,20977,0.09257726269315673
46184,24212,0.06143200112978393
46184,24213,0.06307194143319723
46184,24214,0.13407894736842105
46184,6651,0.13764337851929093
46184,74008,0.18858433425726312
46184,8889,0.1605098293367898
46184,8895,0.18445802962614624
46184,8915,0.1190507755534933
46184,8916,0.10594722331626624
46184,8917,0.061985201731118246
46184,8919,0.17060429775614389
46184,8921,0.16641167470872073
46184,8922,0.13191266832265655
46184,8923,0.11878851448800315
46184,8925,0.11700303390054083
46184,8926,0.15450535601764334
46184,8927,0.1524908099885917
46184,30165,0.22516018409890803
46184,64417,0.22583397321047693
46184,64482,0.2216629213483146
46184,64718,0.2297047228256497
46184,64869,0.21747498075442648
46184,65089,0.22102092825700825
46184,65212,0.23448167621439223
46184,65346,0.2186159844054581
46184,65648,0.23446759701777864
46184,66437,0.22128461412420122
46184,66673,0.21821219715956558
46184,66904,0.22083936324167872
46184,66952,0.23024380988521012
46184,2187,0.175544896070016
46184,2313,0.20423944687045123
46184,2314,0.20641470505486262
46184,46580,0.1718021603183627
47311,52912,0.1859730762838624
47311,5323,0.22207211888184558
47311,53628,0.2375891549761466
47311,75277,0.19756554307116106
47311,10353,0.04178308356616713
47311,10354,0.04639898024219248
47311,10425,0.12591642228739003
47311,10426,0.1295193406725621
47311,10428,0.10675935696108249
47311,17657,0.11382363792891403
47311,17664,0.2157346785445959
47311,18101,0.0497850333354103
47311,2054,0.0951682853826889
47311,21000,0.13431742633387797
47311,2146,0.14074914869466515
47311,2228,0.14759036144578314
47311,2229,0.14162870159453303
47311,2230,0.17063471569488198
47311,2312,0.1250914411119239
47311,2319,0.11794235766595795
47311,2320,0.08516758379189594
47311,2321,0.1342006772411335
47311,2335,0.14521392313270487
47311,2336,0.1441251056635672
47311,2337,0.12921176542530421
47311,2338,0.15313586761002518
47311,2339,0.14525882922109337
47311,2340,0.132756929114545
47311,2341,0.13738077769625825
47311,2342,0.16601120247884638
